Region_1,High_Rated_Count,Average_Points
Recioto di Soave Classico,4,91.75
Red Hills Lake County,27,91.66666666666667
Red Mountain,214,91.3411214953271
Redwood Valley,5,91.4
Reuilly,1,91.0
Ribbon Ridge,54,92.24074074074075
Ribeira Sacra,2,91.0
Ribeiro,4,90.75
Ribera del Duero,148,91.62837837837837
Rioja,212,91.44811320754717
Riverina,2,91.0
Rivesaltes,4,91.75
Roccamonfina,3,91.66666666666667
Rockpile,28,91.21428571428571
Roero,4,91.0
Rogue Valley,26,90.46153846153847
Romagna,4,91.25
Romanée-St.-Vivant,2,94.0
Rosazzo,2,90.5
Rosso Piceno,1,90.0
Rosso del Veronese,2,90.5
Rosso di Cerignola,1,90.0
Rosso di Montalcino,18,90.5
Rosso di Montepulciano,3,90.0
Roussette de Savoie,3,90.0
Rueda,10,90.3
Rully,3,91.0
Russian River Valley,908,91.95264317180617
Rutherford,133,92.05263157894737
Rutherglen,6,95.66666666666667
Régnié,2,91.0
Rías Baixas,25,90.28
Río Negro Valley,4,91.0
Sagrantino di Montefalco,12,90.75
Saint-Amour,8,91.0
Saint-Aubin,12,90.58333333333333
Saint-Chinian,6,90.33333333333333
Saint-Croix-du-Mont,1,90.0
Saint-Estèphe,76,91.96052631578948
Saint-Georges-Saint-Émilion,2,90.5
Saint-Joseph,13,91.3076923076923
Saint-Julien,66,93.25757575757575
Saint-Mont,2,90.5
Saint-Nicolas-de-Bourgueil,6,90.66666666666667
Saint-Péray,1,90.0
Saint-Véran,18,90.5
Saint-Émilion,200,92.135
Sainte-Foy Bordeaux,1,90.0
Salento,4,91.5
Salice Salentino,3,91.0
Salina,4,90.25
Salta,5,90.4
San Antonio Valley,3,90.66666666666667
San Benito County,5,91.8
San Bernabe,2,90.5
San Francisco Bay,1,91.0
San Francisco Bay-Livermore Valley,2,90.5
San Juan,2,91.0
San Luis Obispo,2,92.0
San Luis Obispo County,37,92.10810810810811
Sancerre,133,91.66917293233082
Sangiovese di Romagna Superiore,1,90.0
Sannio,2,90.0
Sant' Agata dei Goti,1,90.0
Sant'Antimo,10,91.6
Santa Barbara,2,91.0
Santa Barbara County,199,91.58793969849246
Santa Barbara-Monterey,2,91.5
Santa Clara County,2,90.0
Santa Clara Valley,19,91.15789473684211
Santa Cruz Mountains,163,91.92638036809817
Santa Lucia Highlands,250,91.88
Santa Margarita Ranch,3,90.66666666666667
Santa Maria Valley,236,92.13983050847457
Santa Ynez Valley,182,91.44505494505495
Santenay,8,90.375
Saumur,8,91.875
Saumur-Champigny,6,91.0
Saussignac,1,90.0
Sauternes,49,92.85714285714286
Savennières,8,92.625
Savennières-Roche-Aux-Moines,1,93.0
Savigny-lès-Beaune,36,91.08333333333333
Sebino,1,92.0
Seneca Lake,18,91.44444444444444
Sforzato di Valtellina,8,91.0
Shenandoah Valley (CA),26,91.15384615384616
Sicilia,99,90.96969696969697
Sierra Foothills,87,91.40229885057471
Similkameen Valley,1,92.0
Snipes Mountain,12,91.41666666666667
Soave,1,90.0
Soave Classico,22,91.22727272727273
Soave Classico Superiore,1,90.0
Solano County,1,90.0
Somontano,6,90.16666666666667
Sonoma,1,90.0
Sonoma Coast,433,91.92378752886836
Sonoma County,171,91.0233918128655
Sonoma County-Lake County,1,91.0
Sonoma County-Monterey County-Napa County,2,90.5
Sonoma County-Napa County,4,90.75
Sonoma Mountain,46,91.82608695652173
Sonoma Valley,135,91.32592592592593
Sonoma-Napa,6,92.66666666666667
South Australia,20,92.05
South Coast,9,91.0
South Eastern Australia,7,91.0
Southeastern New England,1,90.0
Southern Oregon,10,91.1
Spain,6,92.0
Spring Mountain District,45,91.86666666666666
St. David's Bench,1,90.0
St. Helena,72,91.79166666666667
Sta. Rita Hills,321,92.07476635514018
Stags Leap District,66,92.42424242424242
Suisun Valley,2,91.5
Swan Creek,1,90.0
Taburno,1,92.0
Tarragona,2,90.0
Tasmania,11,90.9090909090909
Taurasi,49,91.9795918367347
Tavel,12,90.33333333333333
Temecula,1,92.0
Temecula Valley,40,90.95
Templeton Gap District,13,92.53846153846153
Teroldego Rotaliano,2,91.0
Terra Alta,7,90.85714285714286
Terre Siciliane,15,91.93333333333334
Terre del Volturno,3,90.0
"The Hamptons, Long Island",2,90.0
Tierra del Viños de Zamora,4,91.25
Torgiano,3,91.66666666666667
Torgiano Rosso Riserva,1,92.0
Toro,52,91.76923076923077
Toscana,275,91.70545454545454
Touraine,2,90.0
Touraine Amboise,1,91.0
Trebbiano d'Abruzzo,2,91.5
Trento,39,90.94871794871794
Tupungato,22,91.0
Tuscany,1,95.0
Uco Valley,31,91.54838709677419
Umbria,9,91.0
Umpqua Valley,27,90.62962962962963
Utiel-Requena,1,90.0
Vacqueyras,4,90.5
Val de Loire,2,90.0
Val di Cornia Suvereto,3,91.0
Val di Neto,2,90.5
Valdeorras,6,90.66666666666667
Valdobbiadene Prosecco Superiore,26,90.92307692307692
Valdobbiadene Superiore di Cartizze,11,90.81818181818181
Valencia,4,90.25
Valle d'Aosta,1,90.0
Valle de Uco,16,91.5
Valli di Porto Pino,1,92.0
Valpolicella Classico,1,90.0
Valpolicella Classico Superiore,4,90.5
Valpolicella Classico Superiore Ripasso,13,90.07692307692308
Valpolicella Ripasso Classico,1,90.0
Valpolicella Superiore,2,90.0
Valpolicella Superiore Ripasso,3,90.0
Valtellina Superiore,11,90.63636363636364
Veneto,11,90.45454545454545
Venezia Giulia,14,91.28571428571429
Ventoux,6,91.33333333333333
Verdicchio dei Castelli di Jesi Classico,3,91.33333333333333
Verdicchio dei Castelli di Jesi Classico Superiore,7,90.85714285714286
Verdicchio di Matelica,4,91.25
Vermentino di Gallura,6,90.83333333333333
Vermentino di Sardegna,4,91.5
Vernaccia di San Gimignano,2,92.0
Veronese,9,91.44444444444444
Vi de la Terra Illes Balears,1,90.0
Vi de la Terra Mallorca,4,91.0
Victoria,14,90.64285714285714
Vigneti delle Dolomiti,10,92.0
Vin Doux Naturel Rasteau,1,90.0
Vin Santo del Chianti,4,90.75
Vin Santo del Chianti Classico,11,92.45454545454545
Vin Santo del Chianti Rufina,2,91.5
Vin Santo di Montepulciano,1,100.0
Vin de France,11,91.54545454545455
Vin de Liqueur,4,90.0
Vin de Pays de Vaucluse,1,93.0
Vin de Pays de la Haute Vallée du Gassac,1,92.0
Vin de Pays de la Méditerranée,1,90.0
Vin de Pays des Alpilles,1,90.0
Vin de Pays des Côtes de Gascogne,1,94.0
Vin de Savoie,1,90.0
Vin de Table Francais,2,90.5
Vino Nobile di Montepulciano,53,91.18867924528301
Vino Spumante,13,91.0
Vino da Tavola,3,92.33333333333333
Vino de la Tierra de Castilla,10,90.5
Vino de la Tierra de Castilla y León,21,91.80952380952381
Vino de la Tierra de Cádiz,2,90.0
Vinos de Madrid,2,90.0
Virginia,7,90.0
Viré-Clessé,4,90.0
Vista Flores,2,90.5
Vittoria,4,91.25
Volnay,31,92.25806451612904
Vosne-Romanée,25,91.84
Vougeot,5,91.6
Vouvray,31,92.2258064516129
Wahluke Slope,63,91.34920634920636
Walla Walla Valley (OR),56,93.0
Walla Walla Valley (WA),324,91.63271604938272
Washington,69,91.4927536231884
Western Australia,5,90.2
Willamette Valley,578,91.38581314878893
Wrattonbully,3,91.66666666666667
Yakima Valley,222,91.22972972972973
Yamhill County,1,92.0
Yarra Valley,19,91.42105263157895
Yecla,2,91.0
Yolo County,4,90.0
Yorkville Highlands,7,91.85714285714286
Yountville,26,92.11538461538461
